TREE_COLORS								
SEPARATOR TAB								
COLOR	#a6cee3							
DATASET_LABEL	Taxonomy							
LEGEND_COLORS	#EEE685	#4F94CD	#EE7600	#00CD00	#43CD80	#90EE90	#919191
LEGEND_LABELS	Actinobacteria	Bacteroidetes	Firmicutes	Alphaproteobacteria	Betaproteobacteria	Gammaproteobacteria	Others
LEGEND_SHAPES	1	1	1	1	1	1	1	1
LEGEND_TITLE	Taxonomy							
DATA								
HQB-427	range	#EE7600	Firmicutes					
HQB-428	range	#90EE90	Gammaproteobacteria					
HQB-429	range	#90EE90	Gammaproteobacteria					
HQB-430	range	#90EE90	Gammaproteobacteria					
HQB-431	range	#90EE90	Gammaproteobacteria					
HQB-432	range	#90EE90	Gammaproteobacteria					
HQB-433	range	#90EE90	Gammaproteobacteria					
HQB-434	range	#90EE90	Gammaproteobacteria					
HQB-435	range	#90EE90	Gammaproteobacteria					
HQB-436	range	#90EE90	Gammaproteobacteria					
HQB-437	range	#90EE90	Gammaproteobacteria					
HQB-438	range	#90EE90	Gammaproteobacteria					
HQB-439	range	#90EE90	Gammaproteobacteria					
HQB-440	range	#90EE90	Gammaproteobacteria					
HQB-441	range	#90EE90	Gammaproteobacteria					
HQB-442	range	#90EE90	Gammaproteobacteria					
HQB-443	range	#90EE90	Gammaproteobacteria					
HQB-444	range	#90EE90	Gammaproteobacteria					
HQB-445	range	#90EE90	Gammaproteobacteria					
HQB-446	range	#00CD00	Alphaproteobacteria					
HQB-447	range	#90EE90	Gammaproteobacteria					
HQB-448	range	#EEE685	Actinobacteria					
HQB-449	range	#EEE685	Actinobacteria					
HQB-450	range	#EEE685	Actinobacteria					
HQB-451	range	#EEE685	Actinobacteria					
HQB-452	range	#EEE685	Actinobacteria					
HQB-453	range	#90EE90	Gammaproteobacteria					
HQB-455	range	#4F94CD	Bacteroidetes					
HQB-456	range	#43CD80	Betaproteobacteria					
HQB-457	range	#00CD00	Alphaproteobacteria					
HQB-458	range	#EEE685	Actinobacteria					
HQB-459	range	#4F94CD	Bacteroidetes					
HQB-460	range	#EEE685	Actinobacteria					
HQB-461	range	#4F94CD	Bacteroidetes					
